"","APIACEAE","ASTERX","BETULACEAE","BOTRYCHIUM","BRASSICACEAE","CAMPANULACEA","CANNABACEAE","CAPRIFOLIA","CARYOPHYLL","CHENOAMX","CORNUS","CUPRESSA","CYPERACE","ELAEAGNX","EPHEDRACEAE","ERICACEX","ERICALES","EUPHORB","FABACEAE","FAGACEAE","JUGLANDACEAE","LILIACEAE","MALVACEAE","MORACEAX","MYRICACX","OLEACEAE","ONAGRACEAE","PINACEAE","PLANTAGINX","PLATANACEAE","POACEAE","POLEMONI","POLYGONAX","RANUNCUL","RHAMNACEAE","ROSACEAX","RUBIACEAE","SALICACEAE","SAPINDACEAE","SARCOBATACEAE","SCROPHUL","SXFRAGAX","TAXACEAE","ULMACEAE","URTICACX","VISICACEAE"
"107",0,4,100,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,2,0,0,1,0,4,0,7,0,0,0,1,0,0,0,0
"108",0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"109",0,14.2,92.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886.2,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0
"110",0,0,13,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"111",1,1,169,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,2,0,0,1,0,2,0,19,0,0,0,0,0,0,0,0
"112",0,27,22,0,0,1,0,0,1,3,0,7,15,0,0,1,0,0,0,6,0,0,0,0,0,1,0,298,0,0,10,0,2,2,0,13,0,1,7,0,0,0,0,0,0,1
"113",0,2,27,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"114",81,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,166,0,0,0,0,0,0,0
"115",0,3,102,0,0,0,0,0,0,2,1,64,27,0,0,0,0,0,0,8,2,0,0,0,0,34,0,163,0,0,22,0,3,3,5,14,0,30,5,0,0,0,0,0,0,0
"116",0,0,140,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,125,0,0,1,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0
"117",0,1,45,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"118",0,1,82,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,1,108,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"120",0,10,100,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,262,0,0,2,0,12,0,0,4,0,3,1,0,0,0,0,0,0,0
"121",0,3,176,0,2,0,0,0,0,0,0,32,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
